sample-id	observed_features
ERR1513669	90
ERR1513670	108
ERR1513671	102
ERR1513672	111
ERR1513673	82
ERR1513674	98
ERR1513675	107
ERR1513676	98
ERR1513677	106
ERR1513678	107
ERR1513680	120
ERR1513681	89
ERR1513682	56
ERR1513683	71
ERR1513684	85
ERR1513685	69
ERR1513686	90
ERR1513688	86
ERR1513689	123
ERR1513690	97
ERR1513691	87
ERR1513692	186
ERR1513693	137
ERR1513695	78
ERR1513698	112
ERR1513699	49
ERR1513701	72
ERR1513702	147
ERR1513703	63
ERR1513704	85
ERR1513705	73
ERR1513706	83
ERR1513709	91
ERR1513710	128
ERR1513711	91
ERR1513712	107
ERR1513713	102
ERR1513714	127
ERR1513715	121
ERR1513716	98
ERR1513717	160
ERR1513718	104
ERR1513719	85
ERR1513721	57
ERR1513722	92
ERR1513723	75
ERR1513724	73
ERR1513725	83
ERR1513726	35
ERR1513727	84
ERR1513728	75
ERR1513729	99
ERR1513730	80
ERR1513731	32
ERR1513732	32
ERR1513733	153
ERR1513734	127
ERR1513735	136
ERR1513736	72
ERR1513737	59
ERR1513738	66
ERR1513739	64
ERR1513740	83
ERR1513741	109
ERR1513742	66
ERR1513743	103
ERR1513744	136
ERR1513745	62
ERR1513746	77
ERR1513748	77
ERR1513749	112
ERR1513750	89
ERR1513751	112
ERR1513752	110
ERR1513753	81
ERR1513754	95
ERR1513755	43
ERR1513756	87
ERR1513757	96
ERR1513758	105
ERR1513759	109
ERR1513760	72
ERR1513761	113
ERR1513762	86
ERR1513763	107
ERR1513764	40
ERR1513765	88
ERR1513766	79
ERR1513767	85
ERR1513768	166
ERR1513769	39
ERR1513770	221
ERR1513771	131
ERR1513772	83
ERR1513774	109
ERR1513775	60
ERR1513776	105
ERR1513777	157
ERR1513778	72
ERR1513781	115
ERR1513782	60
ERR1513783	77
ERR1513784	108
ERR1513785	133
ERR1513786	79
ERR1513787	58
ERR1513788	102
ERR1513789	61
ERR1513790	135
ERR1513793	123
ERR1513795	86
ERR1513796	121
ERR1513797	106
ERR1513798	92
ERR1513799	114
ERR1513800	123
ERR1513801	132
ERR1513802	58
ERR1513803	151
ERR1513804	103
ERR1513805	132
ERR1513806	117
ERR1513807	138
ERR1513808	99
ERR1513810	119
ERR1513811	55
ERR1513812	100
ERR1513813	142
ERR1513815	93
ERR1513816	139
ERR1513817	149
ERR1513818	70
ERR1513819	138
ERR1513820	78
ERR1513821	44
ERR1513823	143
ERR1513824	44
ERR1513825	142
ERR1513826	102
ERR1513827	72
ERR1513828	121
ERR1513829	121
ERR1513830	74
ERR1513831	72
ERR1513832	152
ERR1513833	56
ERR1513834	85
ERR1513835	158
ERR1513836	60
ERR1513837	73
ERR1513838	101
ERR1513839	125
ERR1513840	53
ERR1513841	97
ERR1513842	121
ERR1513843	77
ERR1513844	123
ERR1513846	93
ERR1513847	112
ERR1513849	82
ERR1513850	107
ERR1513851	113
ERR1513853	143
ERR1513854	65
ERR1513855	139
ERR1513856	132
ERR1513857	98
ERR1513858	69
ERR1513859	158
ERR1513860	78
ERR1513861	104
ERR1513862	132
ERR1513863	77
ERR1513864	55
ERR1513865	70
ERR1513866	103
ERR1513867	94
ERR1513869	164
ERR1513870	135
ERR1513871	114
ERR1513872	137
ERR1513873	111
ERR1513874	112
ERR1513875	93
ERR1513876	112
ERR1513877	53
ERR1513878	84
ERR1513879	54
ERR1513880	46
ERR1513881	60
ERR1513882	65
ERR1513883	132
ERR1513884	193
ERR1513885	97
ERR1513886	162
ERR1513887	126
ERR1513888	107
ERR1513889	95
ERR1513890	136
ERR1513891	117
ERR1513892	63
ERR1513894	96
ERR1513896	117
ERR1513898	136
ERR1513899	68
ERR1513901	102
ERR1513902	48
ERR1513903	74
ERR1513904	92
ERR1513905	27
ERR1513906	152
ERR1513907	82
ERR1513908	161
ERR1513909	102
ERR1513910	85
ERR1513911	104
ERR1513912	84
ERR1513913	157
ERR1513914	103
ERR1513916	170
ERR1513917	89
ERR1513918	94
ERR1513919	68
ERR1513921	119
ERR1513922	147
ERR1513923	63
ERR1513924	164
ERR1513925	118
ERR1513926	92
ERR1513927	143
ERR1513928	114
ERR1513929	103
ERR1513930	114
ERR1513931	152
ERR1513932	50
ERR1513933	149
ERR1513934	83
ERR1513935	136
ERR1513937	17
ERR1513938	76
ERR1513939	105
ERR1513940	145
ERR1513942	81
ERR1513943	84
ERR1513944	65
ERR1513946	122
ERR1513947	137
ERR1513948	130
ERR1513949	95
ERR1513950	81
ERR1513951	66
ERR1513952	68
ERR1513953	190
ERR1513954	124
ERR1513955	159
ERR1513956	82
ERR1513957	97
ERR1513958	89
ERR1513959	104
ERR1513960	84
ERR1513961	82
ERR1513962	96
ERR1513963	94
ERR1513965	135
ERR1513966	83
ERR1513967	91
ERR1513968	73
ERR1513969	55
ERR1513970	44
ERR1513971	190
ERR1513973	50
ERR1513974	93
ERR1513975	71
ERR1513976	67
ERR1513977	153
ERR1513978	59
ERR1513979	88
ERR1513980	96
ERR1513981	142
ERR1513983	116
ERR1513984	105
ERR1513985	68
ERR1513986	91
ERR1513987	109
ERR1513988	173
ERR1513989	161
ERR1513990	82
ERR1513991	115
ERR1513992	75
ERR1513993	174
ERR1513994	63
ERR1513995	81
ERR1513996	112
ERR1513997	98
ERR1513998	136
ERR1513999	119
ERR1514000	74
ERR1514001	95
ERR1514002	64
ERR1514003	70
ERR1514004	127
ERR1514005	165
ERR1514006	109
ERR1514007	113
ERR1514008	104
ERR1514009	75
ERR1514010	119
ERR1514011	76
ERR1514012	80
ERR1514013	101
ERR1514014	91
ERR1514015	29
