sample-id	shannon_entropy
ERR1513669	3.7923076933012703
ERR1513670	5.0638679278322485
ERR1513671	4.010896272551487
ERR1513672	4.207359778320064
ERR1513673	4.275802346369608
ERR1513674	4.094789983374659
ERR1513675	4.507319195836896
ERR1513676	4.795391288423227
ERR1513677	4.903288310834104
ERR1513678	5.183750719345717
ERR1513680	5.331633065135307
ERR1513681	5.050001453990733
ERR1513682	3.2830562554659246
ERR1513683	3.9114399087768623
ERR1513684	4.691866094485397
ERR1513685	3.6206999984546697
ERR1513686	4.452928298630267
ERR1513688	4.74581274825702
ERR1513689	4.940368842968566
ERR1513690	4.958863366091252
ERR1513691	4.378659018716818
ERR1513692	6.198695225576342
ERR1513693	5.701712902653532
ERR1513695	4.511998592194075
ERR1513698	4.7151474701464835
ERR1513699	3.7841438879098677
ERR1513701	4.2371988877886615
ERR1513702	5.731352546949996
ERR1513703	3.623655007731844
ERR1513704	4.984108341753464
ERR1513705	4.7223003464651185
ERR1513706	3.9489177680980028
ERR1513709	4.940632498151335
ERR1513710	5.598773641734215
ERR1513711	4.30813851765059
ERR1513712	5.334639455221613
ERR1513713	4.884297523086976
ERR1513714	5.691830536357161
ERR1513715	5.733444561544371
ERR1513716	5.0643420827763945
ERR1513717	6.202174445895762
ERR1513718	5.380131163627624
ERR1513719	4.755616892120103
ERR1513721	3.141427592997314
ERR1513722	3.514415234545899
ERR1513723	4.298560929609004
ERR1513724	4.926625923666214
ERR1513725	4.433823501374212
ERR1513726	3.5290919318496097
ERR1513727	5.072270629586382
ERR1513728	4.332943541690477
ERR1513729	4.720759795574748
ERR1513730	4.4397880917572765
ERR1513731	3.0022349515892546
ERR1513732	2.976575735486973
ERR1513733	5.882583948067021
ERR1513734	5.570075150247477
ERR1513735	5.3486540845309785
ERR1513736	4.372023066069811
ERR1513737	3.58579961806384
ERR1513738	4.555126193820766
ERR1513739	4.619597149749835
ERR1513740	4.333800219635063
ERR1513741	5.270568644241094
ERR1513742	4.428232704151804
ERR1513743	5.269860460248774
ERR1513744	5.896763274399026
ERR1513745	3.6309639443244377
ERR1513746	4.589602849551644
ERR1513748	4.107540575259144
ERR1513749	5.621371860940662
ERR1513750	3.940573104473209
ERR1513751	4.782121137889456
ERR1513752	5.423617751181755
ERR1513753	4.795162153210888
ERR1513754	4.8642307175444115
ERR1513755	3.0167858848433893
ERR1513756	4.3194355814033925
ERR1513757	5.01236386485809
ERR1513758	5.2202693230995445
ERR1513759	5.220436952824807
ERR1513760	3.2408622009442274
ERR1513761	5.448445170474203
ERR1513762	4.000034554246942
ERR1513763	5.229123226520392
ERR1513764	2.794544562308284
ERR1513765	4.630981041234018
ERR1513766	4.654692371405727
ERR1513767	4.9893568606870815
ERR1513768	6.394929366541916
ERR1513769	2.1856273870223006
ERR1513770	6.272418392466883
ERR1513771	5.617106630564701
ERR1513772	4.338998569870279
ERR1513774	5.811532983675818
ERR1513775	4.135804865683771
ERR1513776	5.14372470195471
ERR1513777	6.288893704813296
ERR1513778	4.214694935570356
ERR1513781	4.7293560226030635
ERR1513782	3.895698695948121
ERR1513783	4.378848739627268
ERR1513784	4.876302186819678
ERR1513785	5.8199891061099684
ERR1513786	4.615723067793863
ERR1513787	4.085779377183795
ERR1513788	5.200076043749995
ERR1513789	4.574922703380066
ERR1513790	5.12666496199116
ERR1513793	5.641333547691514
ERR1513795	4.174028671682672
ERR1513796	5.772347130986216
ERR1513797	4.962572155652168
ERR1513798	4.794848320475339
ERR1513799	5.377714857024879
ERR1513800	5.477834387038632
ERR1513801	5.501086394319567
ERR1513802	3.2283737522677085
ERR1513803	5.585705539899712
ERR1513804	4.95398287658956
ERR1513805	5.791181349240921
ERR1513806	5.193357556453504
ERR1513807	5.429562086905051
ERR1513808	5.141423599044496
ERR1513810	5.440488293152169
ERR1513811	4.145605807403316
ERR1513812	5.127422741000242
ERR1513813	5.97157591551745
ERR1513815	4.415298611691548
ERR1513816	5.783112628901314
ERR1513817	6.0637766324854825
ERR1513818	4.633864349478577
ERR1513819	5.382823669314574
ERR1513820	4.756352877890669
ERR1513821	3.8659385191831643
ERR1513823	5.735265407192906
ERR1513824	4.358431524947757
ERR1513825	5.478081370175365
ERR1513826	4.850153722106319
ERR1513827	4.498945041170044
ERR1513828	5.642600998621021
ERR1513829	5.5034268323223685
ERR1513830	4.434844374729749
ERR1513831	3.8465484857588463
ERR1513832	6.201506342389697
ERR1513833	4.123436549720035
ERR1513834	4.478376690670915
ERR1513835	6.064201439572734
ERR1513836	3.6947915413259422
ERR1513837	4.45285091497428
ERR1513838	4.83738997123309
ERR1513839	4.468241539214406
ERR1513840	3.95413072290651
ERR1513841	5.244888583144094
ERR1513842	4.737924405333196
ERR1513843	4.324400577472459
ERR1513844	5.731904249567231
ERR1513846	5.112385861001055
ERR1513847	4.92704544625945
ERR1513849	3.9239232626101876
ERR1513850	4.822755187329199
ERR1513851	5.507937826807385
ERR1513853	6.036240767219869
ERR1513854	4.365659764694344
ERR1513855	5.658912382103173
ERR1513856	5.396928895761142
ERR1513857	4.016836239204467
ERR1513858	4.679649695461536
ERR1513859	6.3301878557463525
ERR1513860	4.956595863823968
ERR1513861	5.104825158433897
ERR1513862	5.528693180050491
ERR1513863	4.2130904370364455
ERR1513864	4.0062622977421745
ERR1513865	4.556029209528026
ERR1513866	5.360499152768421
ERR1513867	5.126329348680364
ERR1513869	5.992647536605001
ERR1513870	5.740220665938182
ERR1513871	4.952406806204401
ERR1513872	5.750501015488456
ERR1513873	4.891977450239898
ERR1513874	4.789255169042144
ERR1513875	4.571250018454958
ERR1513876	5.57258585700407
ERR1513877	4.168259125176196
ERR1513878	4.759477470114707
ERR1513879	3.375300389337337
ERR1513880	3.399137091522387
ERR1513881	4.567222390947596
ERR1513882	3.8884736025772213
ERR1513883	4.918266423913019
ERR1513884	6.188889226706001
ERR1513885	4.585784615837457
ERR1513886	5.921955459853917
ERR1513887	5.471253456541426
ERR1513888	4.948464937987601
ERR1513889	5.143849991997704
ERR1513890	5.257123962568049
ERR1513891	5.128709931388851
ERR1513892	4.003634446877763
ERR1513894	4.600486599749254
ERR1513896	5.557159232513443
ERR1513898	5.670305653674967
ERR1513899	3.740953561901608
ERR1513901	5.311787942487201
ERR1513902	3.1948450464577016
ERR1513903	3.18581536476548
ERR1513904	4.5412155729287855
ERR1513905	1.8222545905958705
ERR1513906	5.3388970564018905
ERR1513907	4.556941268147848
ERR1513908	5.45166706189144
ERR1513909	4.817984090753713
ERR1513910	3.55249609505103
ERR1513911	4.107502681061797
ERR1513912	5.000655694717347
ERR1513913	5.65836138095485
ERR1513914	4.8099840762077335
ERR1513916	5.905095654683606
ERR1513917	4.980026560035838
ERR1513918	4.645587055550277
ERR1513919	3.949734926622122
ERR1513921	5.248426434291455
ERR1513922	4.965685858295514
ERR1513923	3.977501993669453
ERR1513924	5.389474688383512
ERR1513925	5.54947793302328
ERR1513926	4.224427575977616
ERR1513927	5.451963744526584
ERR1513928	5.081824940503245
ERR1513929	4.581430468840468
ERR1513930	5.133199639796133
ERR1513931	5.745469451436382
ERR1513932	3.9663852078475803
ERR1513933	5.907642634523352
ERR1513934	5.1194968958838825
ERR1513935	5.627123795258209
ERR1513937	2.8512190401912085
ERR1513938	3.6930800417114726
ERR1513939	5.188593153567399
ERR1513940	5.932385367303676
ERR1513942	2.670630631871571
ERR1513943	4.627473945303013
ERR1513944	2.455624277397408
ERR1513946	4.514002813895979
ERR1513947	5.876963790734346
ERR1513948	5.7531898566895325
ERR1513949	4.649404519353809
ERR1513950	4.035457705802449
ERR1513951	3.893277408820198
ERR1513952	4.570215659379132
ERR1513953	5.959113993348801
ERR1513954	4.955890997287764
ERR1513955	5.629657289553196
ERR1513956	4.70093900253538
ERR1513957	5.4617199734319675
ERR1513958	4.614654225828588
ERR1513959	4.9793842107191875
ERR1513960	4.252414976671876
ERR1513961	4.850868614892308
ERR1513962	5.557375443931527
ERR1513963	4.867552007226149
ERR1513965	5.508750239351157
ERR1513966	4.228130156658449
ERR1513967	3.976061943429914
ERR1513968	4.232617371931944
ERR1513969	3.488037313259682
ERR1513970	2.8400347656112044
ERR1513971	6.403175884079066
ERR1513973	3.3501745656510886
ERR1513974	4.27285489934385
ERR1513975	4.058301786995632
ERR1513976	3.9711089202846908
ERR1513977	5.384073266742686
ERR1513978	4.498228265868231
ERR1513979	3.8620788701306514
ERR1513980	4.118124426334296
ERR1513981	5.099116881660108
ERR1513983	4.858514774886952
ERR1513984	5.223582952189576
ERR1513985	4.5875711995335315
ERR1513986	3.898241505531131
ERR1513987	5.4104989591502255
ERR1513988	6.318269651031277
ERR1513989	5.612873905494529
ERR1513990	4.47479531784387
ERR1513991	4.7885122462984295
ERR1513992	4.706862771663818
ERR1513993	5.914007511384674
ERR1513994	4.098224564597905
ERR1513995	4.058023908379565
ERR1513996	5.32346803202115
ERR1513997	4.648184230852643
ERR1513998	5.64275026416368
ERR1513999	4.732833593827935
ERR1514000	3.7091483745771336
ERR1514001	5.412688371351179
ERR1514002	4.32863279319495
ERR1514003	4.119008613044148
ERR1514004	5.751710870036913
ERR1514005	5.819558482722667
ERR1514006	5.295277090679432
ERR1514007	5.601970808095383
ERR1514008	5.067518534305415
ERR1514009	4.87688300739727
ERR1514010	5.375614944405825
ERR1514011	3.7993202511133477
ERR1514012	4.9620568749044445
ERR1514013	4.55715692496379
ERR1514014	4.561939299102321
ERR1514015	2.5948109173551535
